16 - (nan, nan)
131.1 - (123.92698376964199, 138.273016230358)
462.5 - (456.2159787577282, 468.7840212422718)
1131.2 - (1122.343174008505, 1140.056825991495)
2992.5 - (2334.6650039165747, 3650.3349960834253)
4765.7 - (3612.9098962085636, 5918.490103791436)
6565 - (6487.6914248107, 6642.3085751893)
11963.7 - (11192.887374657706, 12734.512625342295)
20269.9 - (20117.600288852125, 20422.199711147878)
35309.8 - (34548.47801325451, 36071.12198674549)
