200;23;20;19;10;10;9;11;4;3;3;
400;41;40;44;41;53;44;39;36;50;34;
600;153;113;116;120;126;135;133;118;115;121;
800;315;281;294;289;288;299;284;283;281;283;
1000;629;565;558;576;571;559;562;558;569;561;
1200;1264;1580;1574;1582;1561;1609;1582;6788;1231;1190;
1400;1728;1870;1653;1752;1823;1685;1572;1543;1544;1547;
1600;2396;2390;2403;2465;2401;2407;2407;2417;2411;2415;
1800;3935;4106;4006;4012;3960;3959;3973;3977;3953;3966;
2000;6537;6484;6498;6441;6479;6437;6427;6487;6429;6468;
