200;0.00266;0.00262;0.00299;0.00283;0.00289;0.00285;0.00269;0.00278;0.00264;0.00286;
400;0.02265;0.02062;0.0218;0.02176;0.02466;0.02361;0.02289;0.02383;0.02325;0.02049;
600;0.06983;0.07871;0.07082;0.0737;0.067;0.0684;0.0755;0.07217;0.07259;0.07398;
800;0.16725;0.17679;0.17805;0.17101;0.18388;0.17217;0.1788;0.17246;0.18122;0.17448;
1000;0.35229;0.35395;0.35601;0.32524;0.36296;0.34158;0.32486;0.33744;0.34706;0.35858;
1200;0.57817;0.63449;0.6005;0.6309;0.61396;0.56955;0.60241;0.60285;0.58922;0.57569;
1400;0.96332;1.00358;0.93838;1.09704;1.03981;1.0018;0.95378;1.00372;1.06763;0.97878;
1600;2.85497;2.52483;2.27745;1.55063;1.55396;1.53923;1.72867;1.55735;1.59219;1.61128;
1800;2.65531;2.34884;2.81411;2.49373;2.59204;2.69831;2.62165;2.56229;2.5502;2.67456;
2000;5.4466;5.28023;5.50402;5.11995;5.81678;6.48733;5.90029;5.20076;5.786;5.51669;
