200;0.00165;0.00164;0.0017;0.00177;0.00177;0.00174;0.00189;0.00185;0.00174;0.00161;
400;0.01507;0.01292;0.01377;0.01306;0.01603;0.01345;0.01339;0.01481;0.01473;0.01238;
600;0.04635;0.04668;0.04211;0.04693;0.04782;0.0494;0.04539;0.04635;0.04909;0.04841;
800;0.11058;0.10711;0.10872;0.1235;0.12011;0.11391;0.11767;0.11504;0.10637;0.10449;
1000;0.2192;0.2208;0.2328;0.2213;0.23264;0.22639;0.21451;0.21791;0.23016;0.20626;
1200;0.37521;0.38271;0.391;0.35484;0.35817;0.40436;0.41433;0.40031;0.41366;0.40191;
1400;0.66094;0.65703;0.60793;0.72701;0.6648;0.61131;0.61835;0.66642;0.69688;0.60338;
1600;1.76176;1.66901;1.49802;0.97781;1.05379;1.03802;1.01488;0.9651;1.11316;0.96362;
1800;1.7111;1.59691;1.61717;1.51898;1.75709;1.76083;1.8089;1.52716;1.733;1.46212;
2000;3.35264;3.68295;3.44605;3.48657;3.66037;3.79741;3.41513;3.53874;3.7619;3.37363;
