200;0.00127;0.0012;0.00127;0.00113;0.0012;0.0012;0.00121;0.00122;0.00121;0.00123;
400;0.00962;0.00972;0.00892;0.00892;0.01055;0.01031;0.00993;0.01139;0.00952;0.00965;
600;0.0319;0.03309;0.02992;0.02964;0.02967;0.03062;0.03181;0.03097;0.03119;0.03315;
800;0.07564;0.08226;0.07471;0.07348;0.07351;0.07379;0.0752;0.06971;0.07891;0.07638;
1000;0.14866;0.14683;0.14532;0.15121;0.1557;0.14571;0.14986;0.15127;0.1444;0.1467;
1200;0.2768;0.27879;0.26844;0.26379;0.26194;0.2677;0.26655;0.25157;0.2746;0.27665;
1400;0.44926;0.4175;0.42825;0.49275;0.41955;0.42181;0.4161;0.43984;0.47082;0.41764;
1600;1.19061;1.11865;0.9262;0.67252;0.68497;0.70302;0.68404;0.67201;0.69604;0.73238;
1800;1.10274;1.08781;1.12696;1.05363;1.21294;1.04799;1.19133;1.10811;1.05775;1.0352;
2000;2.55728;2.61965;2.47745;2.40311;2.61778;2.61161;2.36594;2.50841;2.52023;2.29301;
