200;0.00546;0.00484;0.00542;0.00474;0.0052;0.00525;0.0049;0.00527;0.00546;0.00481;
400;0.03904;0.03981;0.04029;0.041;0.04438;0.04427;0.04059;0.04367;0.04504;0.03808;
600;0.13189;0.14644;0.12724;0.12575;0.13875;0.12618;0.13591;0.14211;0.12732;0.12808;
800;0.33098;0.35616;0.31566;0.33637;0.34085;0.33752;0.33335;0.29935;0.32783;0.32621;
1000;0.65526;0.65429;0.62028;0.59334;0.6779;0.66512;0.60331;0.67209;0.59617;0.59989;
1200;1.07486;1.13556;1.08632;1.13949;1.17367;1.17152;1.07827;1.08939;1.17234;1.07827;
1400;1.89078;1.76218;1.75623;1.94105;1.92238;1.84783;1.80084;1.93847;1.86782;1.90129;
1600;5.07754;5.26497;4.19238;2.94928;3.14009;2.91808;3.16237;2.96917;2.99697;2.97002;
1800;5.02591;4.67022;5.21934;4.66754;5.02889;4.54976;5.12726;4.64506;4.84971;4.84524;
2000;10.4147;10.33484;9.79527;10.75677;10.42217;12.05218;11.00186;10.23551;9.95087;9.88662;
