Кол-во элементов;Среднее;Интервал
200;0.002781;(0.0026925184505149488, 0.0028694815494850513)
400;0.022556;(0.021573286017377635, 0.023538713982622365)
600;0.07227;(0.06979429775502745, 0.07474570224497255)
800;0.175611;(0.17198315616199011, 0.17923884383800986)
1000;0.345997;(0.3363974794913476, 0.3555965205086524)
1200;0.599774;(0.5838424996455113, 0.6157055003544888)
1400;1.004784;(0.9685380998666749, 1.041029900133325)
1600;1.879056;(1.5304513327196645, 2.2276606672803356)
1800;2.601104;(2.5109567370085566, 2.691251262991443)
2000;5.605865;(5.314742969351019, 5.89698703064898)
