Кол-во элементов;Среднее;Интервал
200;0.019164;(0.01896898741529052, 0.01935901258470948)
400;0.156362;(0.15024119294672728, 0.16248280705327273)
600;0.499021;(0.4929214074072556, 0.5051205925927443)
800;1.21497;(1.1922536051968222, 1.237686394803178)
1000;2.36549;(2.360150124896399, 2.3708298751036008)
1200;4.19766;(4.186769844470495, 4.208550155529505)
1400;7.02258;(6.863947751134381, 7.181212248865618)
1600;13.206800000000001;(10.945494958058635, 15.468105041941367)
1800;18.0635;(17.637514561436394, 18.48948543856361)
2000;39.5096;(38.5649727758104, 40.454227224189594)
