Кол-во элементов;Среднее;Интервал
200;0.0017360000000000001;(0.001671644378618318, 0.0018003556213816822)
400;0.013961;(0.013140450669086406, 0.014781549330913593)
600;0.046853;(0.04534434844746485, 0.04836165155253515)
800;0.11275;(0.10821175965128826, 0.11728824034871174)
1000;0.222197;(0.21613794150517468, 0.22825605849482533)
1200;0.38965;(0.3743311589629267, 0.4049688410370733)
1400;0.651405;(0.6219986554364227, 0.6808113445635773)
1600;1.205517;(0.9826050820271318, 1.4284289179728682)
1800;1.649326;(1.5629978383839824, 1.7356541616160177)
2000;3.551539;(3.4349287805225073, 3.6681492194774927)
