Кол-во элементов;Среднее;Интервал
200;0.001214;(0.0011855451360119396, 0.0012424548639880604)
400;0.009853;(0.009318313048399529, 0.010387686951600472)
600;0.031195999999999998;(0.030271283325652723, 0.03212071667434727)
800;0.075359;(0.07293752080646654, 0.07778047919353345)
1000;0.148566;(0.1460716471305033, 0.1510603528694967)
1200;0.268683;(0.2626772181244754, 0.2746887818755246)
1400;0.437352;(0.41855708766656624, 0.4561469123334338)
1600;0.808044;(0.6662721533464024, 0.9498158466535975)
1800;1.102446;(1.0592441148907665, 1.1456478851092335)
2000;2.497447;(2.416564920254113, 2.5783290797458873)
